series,family,outer_model,block_bits,dimension,message_exponent,message_bits,memory_bits,distance_cutoff,relative_distance_lower,q1_margin_bits_diagnostic,dominant_weight,dominant_log_surprisal
"random full-rank [512,256] reused",random,random,512,256,9,512,11,103,0.1005859375,103.51777822139483,80,-0.5
"random full-rank [512,256] reused",random,random,512,256,10,1024,12,205,0.10009765625,121.60922900163392,79,-1.0
"random full-rank [512,256] reused",random,random,512,256,11,2048,13,410,0.10009765625,127.0639759162799,58,-1.5
"random full-rank [512,256] reused",random,random,512,256,12,4096,14,820,0.10009765625,128.77914742590332,64,-2.5
"random full-rank [512,256] reused",random,random,512,256,13,8192,15,1639,0.10003662109375,129.46134799791324,51,-3.0
"random full-rank [512,256] reused",random,random,512,256,14,16384,16,3277,0.100006103515625,128.6387089239496,58,-3.5
"random full-rank [512,256] reused",random,random,512,256,15,32768,17,6554,0.100006103515625,128.4146926846024,65,-4.5
"random full-rank [512,256] reused",random,random,512,256,16,65536,18,13108,0.100006103515625,128.2689974788344,56,-5.200000000000017
"random full-rank [512,256] reused",random,random,512,256,17,131072,19,26215,0.10000228881835938,127.385651883263,56,-5.900000000000015
"random full-rank [512,256] reused",random,random,512,256,18,262144,20,52429,0.10000038146972656,126.4208508895573,56,-6.600000000000012
"random full-rank [512,256] reused",random,random,512,256,19,524288,21,104858,0.10000038146972656,125.4408703812938,56,-7.20000000000001
"random full-rank [512,256] reused",random,random,512,256,20,1048576,22,209716,0.10000038146972656,124.45162817163357,56,-7.9000000000000075
"random full-rank [1024,512] reused",random,random,1024,512,9,512,11,103,0.1005859375,6.390138738098175,487,1.0
"random full-rank [1024,512] reused",random,random,1024,512,10,1024,12,205,0.10009765625,220.12464648371028,158,-0.5
"random full-rank [1024,512] reused",random,random,1024,512,11,2048,13,410,0.10009765625,256.0655425826931,157,-1.0
"random full-rank [1024,512] reused",random,random,1024,512,12,4096,14,820,0.10009765625,266.91009021618873,114,-1.5
"random full-rank [1024,512] reused",random,random,1024,512,13,8192,15,1639,0.10003662109375,271.8975778313462,126,-2.5
"random full-rank [1024,512] reused",random,random,1024,512,14,16384,16,3277,0.100006103515625,274.14162879817104,100,-3.0
"random full-rank [1024,512] reused",random,random,1024,512,15,32768,17,6554,0.100006103515625,272.9886623128821,114,-4.0
"random full-rank [1024,512] reused",random,random,1024,512,16,65536,18,13108,0.100006103515625,274.4808875450216,129,-4.5
"random full-rank [1024,512] reused",random,random,1024,512,17,131072,19,26215,0.10000228881835938,274.8793945535297,111,-5.200000000000017
"random full-rank [1024,512] reused",random,random,1024,512,18,262144,20,52429,0.10000038146972656,274.0331299471877,111,-5.800000000000015
"random full-rank [1024,512] reused",random,random,1024,512,19,524288,21,104858,0.10000038146972656,273.1053013721482,110,-6.600000000000012
"random full-rank [1024,512] reused",random,random,1024,512,20,1048576,22,209716,0.10000038146972656,272.14151846018933,110,-7.20000000000001
