series,outer_model,block_bits,dimension,message_exponent,message_bits,output_bits,outer_rows,bad_weight,step_bits,state_bits,epochs_per_region,margin_bits,dominant_weight,dominant_log_surprisal,dominant_witness_at_grid_edge,a_minimum_distance,kernel_minimum_distance,kernel_weight_four,map_tag,map_source,notes
"extended BCH [32,16,8] exact",fixed,32,16,18,262144,524288,16384,52428,64,18,256,5.971184355811653,8,-7.4,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [128,64,22] exact",fixed,128,64,18,262144,524288,4096,52428,64,18,64,34.64467858071263,22,-7.0,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"Philips shortened-XBCH [64,32,12] exact",fixed,64,32,18,262144,524288,8192,52428,64,18,128,12.315657123768458,12,-7.5,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(1,3) [8,4,4] exact",fixed,8,4,18,262144,524288,65536,52428,64,18,1024,2.8001678818606397,4,-8.3,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(2,5) [32,16,8] exact",fixed,32,16,18,262144,524288,16384,52428,64,18,256,5.971184355811653,8,-7.4,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(3,7) [128,64,16] exact",fixed,128,64,18,262144,524288,4096,52428,64,18,64,12.578320047682578,16,-7.7,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(4,9) [512,256,32] exact",fixed,512,256,18,262144,524288,1024,52428,64,18,16,41.118616035792044,32,-7.2,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [64,32] reused",random-ensemble-average,64,32,18,262144,524288,8192,52428,64,18,128,3.477095152720498,7,-8.6,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [128,64] reused",random-ensemble-average,128,64,18,262144,524288,4096,52428,64,18,64,23.164413299417326,13,-8.0,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [512,256] reused",random-ensemble-average,512,256,18,262144,524288,1024,52428,64,18,16,139.1481141932395,50,-6.7,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
