k,N,parity_n,parity_extra,delta,d,sigma,offset,h,outer_source,outer_log2,outer_z,inner_log2,term_log2,cum_log2,best_r,best_piece_log2,survivor_only_sum
1048576,2097232,1048656,80,0.106,222306,80,60,367,gf,458.818455,0.40634819091,-810.317430,-351.498976,-40.991450,0,-810.317432,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,368,gf,460.117667,0.40634819091,-811.383613,-351.265947,-40.991450,0,-811.383614,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,369,gf,461.416878,0.40634819091,-813.519415,-352.102536,-40.991450,0,-813.519415,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,370,gf,462.716090,0.40634819091,-817.368148,-354.652058,-40.991450,0,-817.368150,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,371,gf,464.015301,0.40634819091,-823.406962,-359.391660,-40.991450,0,-823.406996,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,372,gf,465.314513,0.40634819091,-824.297903,-358.983390,-40.991450,0,-824.297918,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,373,gf,466.613725,0.40634819091,-825.208447,-358.594722,-40.991450,0,-825.208453,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,374,gf,467.912936,0.40634819091,-826.727953,-358.815017,-40.991450,0,-826.727957,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,375,gf,469.212148,0.40634819091,-828.015855,-358.803707,-40.991450,0,-828.015857,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,376,gf,470.511359,0.40634819091,-829.051974,-358.540615,-40.991450,0,-829.051976,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,377,gf,471.810571,0.40634819091,-831.184012,-359.373441,-40.991450,0,-831.184013,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,378,gf,473.109783,0.40634819091,-834.995496,-361.885713,-40.991450,0,-834.995500,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,379,gf,474.408994,0.40634819091,-841.094106,-366.685112,-40.991450,0,-841.094174,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,380,gf,475.708206,0.40634819091,-842.059671,-366.351465,-40.991450,0,-842.059702,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,381,gf,477.007418,0.40634819091,-842.942224,-365.934806,-40.991450,0,-842.942237,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,382,gf,478.306629,0.40634819091,-844.446910,-366.140281,-40.991450,0,-844.446919,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,383,gf,479.605841,0.40634819091,-845.715074,-366.109233,-40.991450,0,-845.715079,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,384,gf,480.905052,0.40634819091,-846.721123,-365.816071,-40.991450,0,-846.721126,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,385,gf,482.204264,0.40634819091,-848.849391,-366.645127,-40.991450,0,-848.849394,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,386,gf,483.503476,0.40634819091,-852.623367,-369.119891,-40.991450,0,-852.623375,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,387,gf,484.802687,0.40634819091,-858.773146,-373.970459,-40.991450,0,-858.773277,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,388,gf,486.101899,0.40634819091,-859.822203,-373.720305,-40.991450,0,-859.822267,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,389,gf,487.401111,0.40634819091,-860.676772,-373.275661,-40.991450,0,-860.676799,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,390,gf,488.700322,0.40634819091,-862.166638,-373.466316,-40.991450,0,-862.166656,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,391,gf,489.999534,0.40634819091,-863.415062,-373.415528,-40.991450,0,-863.415072,blocked
