k,k_eff,N,delta,d,sigma,block_bits,blocks,d0,h,outer_log2,outer_z,inner_log2,term_log2,cum_log2
1048576,1048576,2097152,0.09,188743,32,256,4096,32,124,171.785415,0.364110441035,-304.938188,-133.152772,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,125,173.242967,0.364110441035,-307.298022,-134.055055,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,126,174.700519,0.364110441035,-309.654691,-134.954172,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,127,176.158071,0.364110441035,-312.008377,-135.850306,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,128,177.615623,0.364110441035,-314.359262,-136.743639,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,129,179.073175,0.364110441035,-316.707524,-137.634349,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,130,180.530727,0.364110441035,-319.053346,-138.522619,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,131,181.988279,0.364110441035,-321.396904,-139.408625,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,132,183.445831,0.364110441035,-323.738364,-140.292533,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,133,184.903383,0.364110441035,-326.077896,-141.174513,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,134,186.360935,0.364110441035,-328.415655,-142.054720,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,135,187.818487,0.364110441035,-330.751788,-142.933301,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,136,189.276039,0.364110441035,-333.086438,-143.810399,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,137,190.733591,0.364110441035,-335.419739,-144.686148,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,138,192.191143,0.364110441035,-337.751810,-145.560667,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,139,193.648695,0.364110441035,-340.082770,-146.434076,-40.520728
