file,n,cut,delta,q1,s,pairs,q_s,late_base,corr,beta_nat,beta_bits,pred_beta_nat,pred_beta_bits
enum_WC12_WC120.120.12.txt,120,12,0.1,0.19995120839100947,4,6.0,0.0011120166193143313,0.0008072886633606274,1.3774708722963667,0.053374852747162645,0.07700363536651021,0.052847794341351784,0.07624325081818804
enum_WC12_WC120.120.12.txt,120,12,0.1,0.19995120839100947,5,10.0,0.00017548000710927069,9.666468914720895e-05,1.8153475551143115,0.05962769398059718,0.08602457840545225,0.052847794341351784,0.07624325081818804
enum_WC12_WC120.120.12.txt,120,12,0.1,0.19995120839100947,6,15.0,2.6692922222726978e-05,9.642718376846887e-06,2.76819473301422,0.0678796924535566,0.0979296956798141,0.052847794341351784,0.07624325081818804
enum_WC12_WC120.120.12.txt,120,13,0.10833333333333334,0.21661380909026026,2,1.0,0.04451235989207766,0.04272895598917533,1.041737596007591,0.04089008436937607,0.05899192194123018,0.0467868830437083,0.0674992041458099
enum_WC12_WC120.120.12.txt,120,13,0.10833333333333334,0.21661380909026026,3,3.0,0.008662276368643425,0.007582909979169477,1.142341975895666,0.044360173301800115,0.06399820203548202,0.0467868830437083,0.0674992041458099
enum_WC12_WC120.120.12.txt,120,13,0.10833333333333334,0.21661380909026026,4,6.0,0.0015970836384491822,0.0011944095428668932,1.3371323496091354,0.04842121386750257,0.06985704512046986,0.0467868830437083,0.0674992041458099
enum_WC12_WC120.120.12.txt,120,13,0.10833333333333334,0.21661380909026026,5,10.0,0.00028030182975140533,0.00016418781759562696,1.7072023604196502,0.05348559841907141,0.0771634075981729,0.0467868830437083,0.0674992041458099
enum_WC12_WC120.120.12.txt,120,13,0.10833333333333334,0.21661380909026026,6,15.0,4.7411770454884764e-05,1.9285436753693774e-05,2.458423475724702,0.05996801873179467,0.08651556323629664,0.0467868830437083,0.0674992041458099
enum_WC12_WC120.120.12.txt,120,14,0.11666666666666667,0.23327640978951109,2,1.0,0.051920528613919215,0.04999287850733514,1.0385584940123271,0.03783368822910678,0.0545824743866715,0.04072597174606482,0.058755157473431754
enum_WC12_WC120.120.12.txt,120,14,0.11666666666666667,0.23327640978951109,3,3.0,0.011011182236129437,0.00974089226573154,1.1304079683610482,0.04085953383833528,0.0589478468416011,0.04072597174606482,0.058755157473431754
enum_WC12_WC120.120.12.txt,120,14,0.11666666666666667,0.23327640978951109,4,6.0,0.0022259393620462815,0.0017062993469527045,1.3045421168457967,0.044308685148094905,0.06392392033146699,0.04072597174606482,0.058755157473431754
