H,e0_log2,e1_log2,e2_log2,e3_log2,e4_log2,e5_log2,e6_log2,e7_log2,e8_log2,total_log2
239,-78398.74165634377,-235.57303354653826,-285.26197136104065,-336.54701189855956,-388.84324077352096,-441.887672039316,-495.5283514077425,-549.6657923583724,-604.2296550660845,-235.57303354653826
240,-78398.74165634377,-236.31842901643307,-285.99559890822997,-337.26882208713533,-389.55318377704225,-442.5856976368691,-496.21440897998355,-550.3398308835539,-604.8916231160721,-236.31842901643307
241,-78398.74165634377,-237.06384908745514,-286.72930084403356,-337.9907568590796,-390.26330197068046,-443.28394944806905,-496.90074421102946,-551.0141989392334,-605.5539729997512,-237.06384908745514
242,-78398.74165634377,-237.8092935507247,-287.46307654845197,-338.71281517826634,-390.973593897101,-443.9824255892127,-497.58735478557026,-551.6888937731766,-606.2167015225654,-237.8092935507247
243,-78398.74165634377,-238.5547622072394,-288.19692541643406,-339.43499602867087,-391.6840581243057,-444.68112420725396,-498.2742384243602,-552.3639126747086,-606.879805537102,-238.5547622072394
244,-78398.74165634377,-239.30025485321286,-288.930846843133,-340.1572983995406,-392.39469323071836,-445.3800434648005,-498.961392869125,-553.0392529595294,-607.5432819278154,-239.30025485321286
245,-78398.74165634377,-240.04577129099044,-289.66484023474067,-340.8797212961467,-393.105497815851,-446.0791815506952,-499.64881589305384,-553.7149119801156,-608.2071276213354,-240.04577129099044
246,-78398.74165634377,-240.7913113225337,-290.3989050018913,-341.60226373310707,-393.8164704935449,-446.7785366731712,-500.3365052938689,-554.3908871187026,-608.8713395793607,-240.7913113225337
247,-78398.74165634377,-241.5368747577304,-291.1330405678945,-342.3249247425378,-394.5276099000406,-447.47810706784077,-501.02445890172993,-555.0671757951026,-609.5359148063876,-241.5368747577304
248,-78398.74165634377,-242.28246140258614,-291.8672463568494,-343.04770336209157,-395.23891468193614,-448.1778909855708,-501.71267456702697,-555.7437754544128,-610.2008503373339,-242.28246140258614
249,-78398.74165634377,-243.02807106761037,-292.60152180195627,-343.77059864319125,-395.9503835043431,-448.8778867005603,-502.4011501683772,-556.4206835749304,-610.8661432453684,-243.02807106761037
250,-78398.74165634377,-243.77370356683633,-293.3358663444625,-344.49360964990166,-396.6620150496817,-449.5780925090567,-503.08988361126154,-557.0978976667078,-611.531790640384,-243.77370356683633
251,-78398.74165634377,-244.51935871553073,-294.07027943130066,-345.216735456494,-397.3738080151701,-450.2785067267701,-503.77887282536017,-557.7754152688091,-612.1977896661735,-244.51935871553073
