bucket,H,T_count,max_log2_minus_left,T_at_max,left_log2,max_log2,left_reproduction_delta
gap_8001_12000,65,4000,3.99865029976e-10,13949,-138.381642572,-138.381642572,3.99865029976e-10
gap_1_4000,66,4000,-3.5527136788e-15,5949,-20.0117348926,-20.0117348926,-3.5527136788e-15
gap_4001_8000,66,4000,1.03385389139e-09,9949,-107.420027238,-107.420027237,1.03385389139e-09
gap_8001_12000,66,4000,-3.68518726646e-09,13949,-139.598946826,-139.59894683,-3.68518726646e-09
gap_1_4000,67,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,67,4000,-1.51045753682e-09,9949,-108.15007236,-108.150072361,-1.51045753682e-09
gap_8001_12000,67,4000,-1.44589762385e-09,13949,-140.816573109,-140.81657311,-1.44589762385e-09
gap_1_4000,68,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,68,4000,-4.80241624246e-10,9949,-108.880429471,-108.880429472,-4.80241624246e-10
gap_8001_12000,68,4000,-1.87458226719e-09,13949,-142.034512025,-142.034512027,-1.87458226719e-09
gap_1_4000,69,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,69,4000,-1.95342408915e-09,9949,-109.611089586,-109.611089588,-1.95342408915e-09
gap_8001_12000,69,4000,1.01800878838e-09,13949,-143.252754599,-143.252754598,1.01800878838e-09
gap_1_4000,70,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,70,4000,-1.2160796814e-09,9949,-110.342044108,-110.34204411,-1.2160796814e-09
gap_8001_12000,70,4000,-1.52041934598e-09,13949,-144.471292225,-144.471292226,-1.52041934598e-09
gap_1_4000,71,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,71,4000,-3.57402996087e-11,9949,-111.0732848,-111.0732848,-3.57402996087e-11
gap_8001_12000,71,4000,-4.56168436358e-10,13949,-145.690116672,-145.690116672,-4.56168436358e-10
gap_1_4000,72,4000,-3.5527136788e-15,5949,-20.0117348926,-20.0117348926,-3.5527136788e-15
gap_4001_8000,72,4000,-2.15931095227e-09,9949,-111.804803759,-111.804803762,-2.15931095227e-09
gap_8001_12000,72,4000,5.16848785992e-10,13949,-146.90922004,-146.909220039,5.16848785992e-10
gap_1_4000,73,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,73,4000,-1.14539489005e-09,9949,-112.536593418,-112.536593419,-1.14539489005e-09
gap_8001_12000,73,4000,1.02966168924e-09,13949,-148.128594754,-148.128594752,1.02966168924e-09
gap_1_4000,74,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,74,4000,-1.28748922634e-09,9949,-113.268646502,-113.268646504,-1.28748922634e-09
gap_8001_12000,74,4000,-5.20799403603e-10,13949,-149.348233541,-149.348233542,-5.20799403603e-10
gap_1_4000,75,4000,3.5527136788e-15,5949,-20.0117348926,-20.0117348926,3.5527136788e-15
gap_4001_8000,75,4000,-1.629871349e-09,9949,-114.000956032,-114.000956033,-1.629871349e-09
gap_8001_12000,75,4000,2.19205276153e-09,13949,-150.568129429,-150.568129427,2.19205276153e-09
gap_1_4000,76,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,76,4000,-7.97228949523e-12,9949,-114.733515301,-114.733515301,-7.97228949523e-12
gap_8001_12000,76,4000,6.01858118898e-10,13949,-151.7882757,-151.788275699,6.01858118898e-10
gap_1_4000,77,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,77,4000,-6.31885654911e-10,9949,-115.466317858,-115.466317859,-6.31885654911e-10
gap_8001_12000,77,4000,-1.42998146657e-09,13949,-153.00866591,-153.008665912,-1.42998146657e-09
gap_1_4000,78,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,78,4000,-7.50901563151e-11,9949,-116.199357506,-116.199357506,-7.50901563151e-11
gap_8001_12000,78,4000,-3.16146042678e-09,13949,-154.22929386,-154.229293864,-3.16146042678e-09
gap_1_4000,79,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,79,4000,-1.85823978427e-09,9949,-116.932628273,-116.932628275,-1.85823978427e-09
gap_8001_12000,79,4000,-6.35793639958e-11,13949,-155.450153587,-155.450153587,-6.35793639958e-11
gap_1_4000,80,4000,3.5527136788e-15,5949,-20.0117348926,-20.0117348926,3.5527136788e-15
gap_4001_8000,80,4000,6.10882011642e-10,9949,-117.666124421,-117.66612442,6.10882011642e-10
