band0_weight,band1_weight,count
26,14,7870434784611006
26,15,15216173614390170
26,16,26628304142606470
26,17,42292013016325682
26,18,61088462753443876
26,19,80379555622309930
26,20,96455467491068480
26,21,105641703298109912
26,22,105641702258057828
26,23,96455466378637000
26,24,80379556122055672
26,25,61088463189391474
26,26,42292012732460532
26,27,26628304158064286
26,28,15216173751925264
26,29,7870434742600686
26,30,3672869612135914
26,31,1540235624019206
26,32,577588348149300
26,33,192529462133467
26,34,56626305692259
26,35,14561042600575
26,36,3235788485830
26,37,612176727271
26,38,96659505755
26,39,12392120325
26,40,1239222451
26,41,90677285
26,42,4319577
26,43,99829
27,0,63166
27,1,2718721
27,2,57087865
27,3,780268077
27,4,7802490043
27,5,60859468670
27,6,385444614990
27,7,2037348065222
27,8,9168071846427
27,9,35653603562549
27,10,121222246976825
27,11,363666746263073
27,12,969777991853738
27,13,2312547501649936
27,14,4955458854403312
27,15,9580553859833894
27,16,16765969433063684
27,17,26628304301217500
27,18,38463105996853050
27,19,50609350186158282
27,20,60731220526162104
27,21,66515145885508464
27,22,66515145457554212
27,23,60731220213974778
27,24,50609350629613958
27,25,38463106182867816
27,26,26628303951991098
27,27,16765969288568850
27,28,9580553995582934
27,29,4955458933571064
27,30,2312547515513424
27,31,969777989319346
27,32,363666731442518
27,33,121222241957475
27,34,35653600099517
27,35,9168068649321
27,36,2037348485261
27,37,385445112266
27,38,60859736270
27,39,7802537320
27,40,780259527
27,41,57077859
27,42,2719645
27,43,63085
28,0,36081
28,1,1553953
28,2,32622017
28,3,445865517
28,4,4458601424
28,5,34777030912
28,6,220253761423
28,7,1164199228554
28,8,5238897256811
28,9,20373480648419
28,10,69269850190022
28,11,207809576388749
28,12,554158855152988
28,13,1321455677269324
28,14,2831690790144284
28,15,5474602362803900
28,16,9580553974856214
28,17,15216173686437494
28,18,21978917739318630
28,19,28919628834156814
28,20,34703554363361484
28,21,38008654515065132
28,22,38008654836553874
28,23,34703554760389424
28,24,28919628739128722
28,25,21978917641169458
28,26,15216173815901248
28,27,9580553906080550
28,28,5474602231975124
28,29,2831690827069892
28,30,1321455709065676
28,31,554158837328004
28,32,207809566990585
28,33,69269852465417
28,34,20373488533105
28,35,5238901954997
28,36,1164199875636
28,37,220253438148
28,38,34776956407
28,39,4458663430
28,40,445830659
28,41,32620363
28,42,1552482
28,43,36445
29,0,18573
29,1,803125
29,2,16873359
29,3,230623626
29,4,2306189549
29,5,17988060471
29,6,113924523628
29,7,602172879527
29,8,2709770526425
29,9,10538009782641
29,10,35829242847182
29,11,107487703341720
29,12,286633874360996
29,13,683511577792428
29,14,1464667686247800
29,15,2831690829437728
29,16,4955458912553670
29,17,7870434701388646
29,18,11368405713304046
29,19,14958428690655516
29,20,17950114355433006
29,21,19659648978554330
29,22,19659649125891768
29,23,17950114406572878
29,24,14958428498966574
29,25,11368405712896398
29,26,7870434846503300
29,27,4955458932355520
29,28,2831690790202180
29,29,1464667663333932
29,30,683511554408760
29,31,286633879979944
29,32,107487717479533
29,33,35829238288165
29,34,10538010734187
29,35,2709774731738
29,36,602171788797
29,37,113923942167
29,38,17988201004
29,39,2306127171
29,40,230590009
29,41,16880961
29,42,803014
29,43,18728
30,0,8754
30,1,374714
30,2,7876653
30,3,107616795
30,4,1076190721
30,5,8394424360
30,6,53164839017
30,7,281013172839
30,8,1264561302908
30,9,4917743144045
30,10,16720310983929
30,11,50160924688647
30,12,133762481096288
30,13,318972076017128
30,14,683511575543092
30,15,1321455677558620
30,16,2312547477721860
30,17,3672869575075764
30,18,5305256020246294
30,19,6980600049263186
30,20,8376720064036178
30,21,9174502875598720
30,22,9174502887364342
30,23,8376720025255178
30,24,6980599991533024
30,25,5305255993472106
30,26,3672869535106526
30,27,2312547513655146
30,28,1321455753479416
30,29,683511570632296
30,30,318972051061268
30,31,133762488735484
30,32,50160932826378
30,33,16720307248762
30,34,4917737600893
30,35,1264559729875
30,36,281013368405
30,37,53164848904
30,38,8394415193
30,39,1076213303
30,40,107631972
30,41,7874113
30,42,375657
30,43,8783
31,0,3739
31,1,157448
31,2,3303061
31,3,45119007
31,4,451309670
31,5,3520294613
31,6,22294760580
31,7,117844055344
31,8,530301522095
31,9,2062276709737
31,10,7011740097903
31,11,21035232283857
31,12,56093948706628
31,13,133762477655172
31,14,286633872544308
31,15,554158842733316
31,16,969777985102354
31,17,1540235630472948
31,18,2224784810947078
31,19,2927348377026714
31,20,3512818048994480
31,21,3847372199422998
31,22,3847372167357724
31,23,3512818070137620
31,24,2927348430172418
31,25,2224784766336478
31,26,1540235597343474
31,27,969778006726038
31,28,554158844647932
31,29,286633871889908
31,30,133762490796060
31,31,56093945864268
31,32,21035224016579
31,33,7011742971164
31,34,2062277837669
31,35,530299902311
31,36,117844399786
31,37,22294960029
31,38,3520195088
31,39,451328876
31,40,45136351
31,41,3300513
31,42,157087
31,43,3705
32,0,1384
32,1,58971
32,2,1237947
32,3,16923821
32,4,169247492
32,5,1320114658
32,6,8360588302
32,7,44191743608
32,8,198862299811
32,9,773352549735
32,10,2629403232858
32,11,7888210609398
32,12,21035228313043
32,13,50160934298308
32,14,107487708103686
32,15,207809564713111
32,16,363666748875850
32,17,577588375104422
32,18,834294292838025
32,19,1097755600263258
32,20,1317306764451807
32,21,1442764615843492
32,22,1442764567074716
32,23,1317306744244791
32,24,1097755660110572
